3.2179 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
15.7143 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
17.6527 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026E0280AD60>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026E071953D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.6530 	EXP 	window1: mouseVisible = True
17.6541 	EXP 	window1: mouseVisible = False
17.6542 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
17.6542 	EXP 	window1: recordFrameIntervals = False
17.8181 	EXP 	window1: recordFrameIntervals = True
18.0020 	EXP 	Screen (0) actual frame rate measured at 59.97Hz
18.0020 	EXP 	window1: recordFrameIntervals = False
20.7307 	EXP 	Created Fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
20.7560 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
20.7604 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
20.7613 	EXP 	New trial (rep=0, index=0): None
20.7770 	EXP 	grating: ori = 2.0
20.7770 	EXP 	Fixation: autoDraw = True
21.7992 	EXP 	grating: autoDraw = True
21.7992 	EXP 	grating: tex = 'sin'
21.8025 	EXP 	Fixation: autoDraw = False
22.1012 	EXP 	grating: autoDraw = False
22.7396 	EXP 	New trial (rep=1, index=0): None
22.7431 	DATA 	Keypress: down
22.7511 	EXP 	Fixation: autoDraw = False
22.7511 	EXP 	grating: autoDraw = False
22.7511 	EXP 	grating: ori = 0.0
22.7511 	EXP 	Fixation: autoDraw = True
23.7512 	EXP 	Fixation: autoDraw = False
23.7512 	EXP 	grating: autoDraw = True
24.0510 	EXP 	grating: autoDraw = False
25.5219 	EXP 	New trial (rep=2, index=0): None
25.5238 	DATA 	Keypress: up
25.5343 	EXP 	Fixation: autoDraw = False
25.5343 	EXP 	grating: autoDraw = False
25.5343 	EXP 	grating: ori = 0.0
25.5343 	EXP 	Fixation: autoDraw = True
26.5344 	EXP 	Fixation: autoDraw = False
